NAMA_DESA,KODE_KECAM,NAMA_KECAM,Jumlah UKM
Poncosari,3402010,Srandakan,5
Trimurti,3402010,Srandakan,7
Gadingsari,3402020,Sanden,9
Gadingharjo,3402020,Sanden,3
Srigading,3402020,Sanden,5
Murtigading,3402020,Sanden,7
Tirtohargo,3402030,Kretek,5
Parangtritis,3402030,Kretek,3
Donotirto,3402030,Kretek,2
Tirtosari,3402030,Kretek,6
Tirtomulyo,3402030,Kretek,4
Seloharjo,3402040,Pundong,6
Panjangrejo,3402040,Pundong,7
Srihardono,3402040,Pundong,8
Sidomulyo,3402050,Bambanglipuro,7
Mulyodadi,3402050,Bambanglipuro,4
Sumbermulyo,3402050,Bambanglipuro,4
Caturharjo,3402060,Pandak,5
Triharjo,3402060,Pandak,6
Gilangharjo,3402060,Pandak,7
Wijirejo,3402060,Pandak,8
Palbapang,3402070,Bantul,2
Ringinharjo,3402070,Bantul,3
Bantul,3402070,Bantul,4
Trirenggo,3402070,Bantul,7
Sabdodadi,3402070,Bantul,8
Patalan,3402080,Jetis,8
Canden,3402080,Jetis,6
Sumber Agung,3402080,Jetis,7
Trimulyo,3402080,Jetis,5
Selopamioro,3402090,Imogiri,5
Sriharjo,3402090,Imogiri,4
Kebon Agung,3402090,Imogiri,3
Karang Tengah,3402090,Imogiri,5
Girirejo,3402090,Imogiri,3
Karangtalun,3402090,Imogiri,6
Imogiri,3402090,Imogiri,7
Wukirsari,3402090,Imogiri,3
Mangunan,3402100,Dlingo,5
Muntuk,3402100,Dlingo,5
Dlingo,3402100,Dlingo,3
Temuwuh,3402100,Dlingo,4
Jatimulyo,3402100,Dlingo,6
Terong,3402100,Dlingo,7
Wonokromo,3402110,Pleret,8
Pleret,3402110,Pleret,7
Segoroyoso,3402110,Pleret,6
Bawuran,3402110,Pleret,7
Wonolelo,3402110,Pleret,8
Sitimulyo,3402120,Piyungan,7
Srimulyo,3402120,Piyungan,4
Srimartani,3402120,Piyungan,4
Tamanan,3402130,Banguntapan,5
Jagalan,3402130,Banguntapan,6
Singosaren,3402130,Banguntapan,7
Wirokerten,3402130,Banguntapan,8
Jambidan,3402130,Banguntapan,2
Potorono,3402130,Banguntapan,7
Baturetno,3402130,Banguntapan,5
Banguntapan,3402130,Banguntapan,8
Pendowoharjo,3402140,Sewon,4
Timbulharjo,3402140,Sewon,3
Bangunharjo,3402140,Sewon,5
Panggungharjo,3402140,Sewon,2
Bangunjiwo,3402150,Kasihan,4
Tirtonirmolo,3402150,Kasihan,5
Tamantirto,3402150,Kasihan,6
Ngestiharjo,3402150,Kasihan,7
Triwidadi,3402160,Pajangan,8
Sendangsari,3402160,Pajangan,7
Guwosari,3402160,Pajangan,3
Argodadi,3402170,Sedayu,5
Argorejo,3402170,Sedayu,3
Argosari,3402170,Sedayu,4
Argomulyo,3402170,Sedayu,6
